Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
उद्यमिन्,udyamin,adjective,"उद्यमिन् [udyamin], a. Diligent, persevering, active, making effort.","परिश्रमी, सतत प्रयत्नशील"
अमर्ष,amarsha,adjective,"अमर्ष [amarṣa], a. Not enduring or bearing.",असहनशील
पृष्ठक,prishthaka,masculine,"पृष्ठकम् [pṛṣṭhakam], The back. (पृष्ठके कृ",पीठ
उत्क्षेपण,utkshepana,masculine,"उत्क्षेपणम् [utkṣēpaṇam], 1 Throwing upwards, lifting or tossing up; अतिमात्रलोहिततलौ बाहू घटोत्क्षेपणात् Ś.1.29.","ऊपर फेंकना, उठाना या उछालना"
दूषक,duushaka,adjective,"दूषक [dūṣaka], a. (-षिका f.) [दुष्-णिच्-ण्वुल्]","भ्रष्टाचार करने वाला, अपवित्र करने वाला, विषाक्त करने वाला, दूषित करने वाला, बिगाड़ने वाला"
मौढ्य,maudhya,masculine,"मौढ्यम् [mauḍhyam], 1 Ignorance, stupidity, folly; हित्वार्चां भजते मौढ्याद् भस्मन्येव जुहोति सः Bhāg.","अज्ञान, जड़ता, मूर्खता"
पाठित,paathita,unknown,"पाठित [pāṭhita], p. p. Taught, instructed; पाठितो$पि खलु विस्मृत एव N.5.121.","पढ़ाया हुआ, शिक्षा दिया हुआ"
लक्षण,lakshana,masculine,"लक्षणम् [lakṣaṇam], [लक्ष्यते$नेन लक्ष्-करणे ल्युट् Uṇ.3.8.]","चिह्न, निशानी, निशान, संकेत, विशेषता, भेद बोधक चिह्न"
लङ्घित,langghita,unknown,"लङ्घित [laṅghita], p. p. [लङ्घ्-क्त]","ऊपर से कूदा हुआ,पार किया हुआ"
उद्वेष्टन,udveshtana,adjective,"उद्वेष्टन [udvēṣṭana], a.",ढीला किया हुआ
स्तुनक,stunaka,masculine,"स्तुनकः [stunakḥ], A goat.",बकरा
उत्पादिन्,utpaadin,adjective,"उत्पादिन् [utpādin], a. Produced, born; सर्वमुत्पादि भङ्गुरम् H.1.28.","पैदा हुआ, जात"
पोत,pota,masculine,"पोतः [pōtḥ], [पू-तन्; Uṇ.3.86]","किसी भी जानवर का बच्चा, पशु-शावक, बछड़ा, अश्वशावक आदि"
उपगुह्,upaguh,unknown,"उपगुह् [upaguh], 1 U.",आलिंगन करना
कटक,kataka,masculine,"कटकः [kaṭakḥ] कम् [kam], कम् 1 A bracelet of gold; कटकाकृतिमुपमृद्य स्वस्तिकः क्रियन्ते Mbh. on I.1.1. आबद्धहेमकटकां रहसि स्मरामि Ch. P.15; Śi.16.77; कटकान्यूर्मिकाश्चापि चित्ररत्न- चयाङ्किताः Śiva. B...",कूड़ा
कव्,kav,adjective,"कव् [kav], 1 Ā. (कवते, कवित)",स्तुति करना
कोङ्कणा,kongkanaa,feminine,"कोङ्कणा [kōṅkaṇā], N. of Reṇukā, wife of Jamadagni. -Comp. -सूतः an epithet of Paraśurāma.","रेणुका, जमदग्नि की पत्नी"
अर्थ्य,arthya,adjective,"अर्थ्य [arthya], a. [अर्थ्-कर्मणि ण्यत्]",जिससे सर्वप्रथम याचना की जाय
हलीषा,haliishaa,feminine,"हलीषा [halīṣā] हलेषा [halēṣā], हलेषा The handle of a plough.","हल का दण्ड, हलस"
प्रतिक्षिप्त,pratikshipta,unknown,"प्रतिक्षिप्त [pratikṣipta], p. p.","रद्द किया हुआ, अस्वीकृत, हटाया हुआ"
वैतरणि,vaitarani,feminine,"वैतरणिः [vaitaraṇiḥ] णी [ṇī], णी f.",नरक की नदी का नाम
भोग्य,bhogya,adjective,"भोग्य [bhōgya], a. [भुज् ण्यत् कुत्वम्]",उपभोग के योग्य या काम में लाने के योग्य
काश्यप,kaashyapa,masculine,"काश्यपः [kāśyapḥ], 1 N. of a celebrated sage.",मांस
अभ्युच्चय,abhyuchchaya,masculine,"अभ्युच्चयः [abhyuccayḥ], [चि-अच्]","वृद्धि,आगम"
निक्षेप,nikshepa,adjective,"निक्षेपः [nikṣēpḥ], 1 Throwing or casting on (with acc.); अलं मान्यानां व्याख्यानेषु कटाक्षनिक्षेपेण S. D.2.","फेंकना, डालना"
ऐकपद्य,aikapadya,masculine,"ऐकपद्यम् [aikapadyam], 1 Unity of words.",शब्दों की एकता
अभिनिविष्टता,abhinivishtataa,feminine,"अभिनिविष्टता [abhiniviṣṭatā], Resoluteness, determination of purpose; निन्दाक्षेपापमानादेरमर्षो$भिनिविष्टता S. D. i. e. adhering to one's purpose; not minding censure, abuse, dishonour &c.","दृढ़संकल्पता,दृढ़निश्चय"
मण्डलीभू,mandaliibhuu,unknown,"मण्डलीभू [maṇḍalībhū], 1 P.",वृत्त बनाना
भक्तिल,bhaktila,adjective,"भक्तिल [bhaktila], a. Faithful, trusty (as a horse.)","स्वामिभक्त, विश्वासपात्र"
विहीन,vihiina,adjective,"विहीन [vihīna], p. p.","छोड़ा गया, परित्यक्त, त्यागा गया"
प्रजुष्ट,prajushta,adjective,"प्रजुष्ट [prajuṣṭa], a. Attached or devoted to, intent on; विषयेषु प्रजुष्टानि Ms.2.96.","अनुरक्त, भक्त, जुटा हुआ"
वाचस्पत्य,vaachaspatya,masculine,"वाचस्पत्यम् [vācaspatyam], An eloquent speech, oration, a harrangue; तदूरीकृत्य कृतिभिर्वाचस्पत्यं प्रतायते H.3.89 (= Śi.2.3).","वाक्पटुतायुक्क्त भाषण, वक्तृता, प्रभावशाली भाषण"
विशोध्य,vishodhya,adjective,"विशोध्य [viśōdhya], a. To be purified, cleansed or corrected. -ध्यम् A debt.","पवित्र किये जाने के योग्य, निर्मल या शुद्ध किये जाने के योग्य"
गीता,giitaa,feminine,"गीता [gītā], [गै कर्मणि क्त] A name given to certain sacred writings in verse (often in the form of a dialogue) which are devoted to the exposition of particular religious and theosophical doctrines; ...",संस्कृत पद्य में लिखे गये कुछ धार्मिकग्रंथ जो विशेष रुप से धार्मिक और आध्यात्मिक सिद्धांतों का प्रतिपादन करता हैं
छूरिका,chhuurikaa,feminine,"छूरिका [chūrikā], f. A barren cow; गोषु ब्राह्मणसंस्थासु छूरिकायाश्च भेदने Ms.8.325.","चाकू,छूरी"
अनुव्यध्,anuvyadh,unknown,"अनुव्यध् [anuvyadh], 4 P.","बींधना, चोट पहुँचाना, घायल करना"
सवृद्धिक,savriddhika,adjective,"सवृद्धिक [savṛddhika], a. Bearing interest.","जिसका ब्याज मिले, ब्याज से युक्त"
पारिवित्त्य,paarivittya,masculine,"पारिवित्त्यम् [pārivittyam] पारिवेत्र्यम् [pārivētryam], पारिवेत्र्यम् Being unmarried while a younger brother is married.",छोटे भाई का विवाह हो जाने पर भी बड़े भाई का अविवाहित रहना
बान्धव,baandhava,masculine,"बान्धवः [bāndhavḥ], [बन्धु स्वार्थे इदमर्थे वा$ण्]","रिश्तेदार, संबंधी"
अवस्रंसन,avasramsana,masculine,"अवस्रंसनम् [avasraṃsanam], Dropping or falling down, falling off, a fall.","नीचे टपकना, नीचे गिरना, अधःपात ।"
आनर्त,aanarta,masculine,"आनर्तः [ānartḥ], [आनृत्यत्यत्र आधारे घञ्]","रंगमंच, नाट्यशाला, नाचघर"
शक्ति,shakti,adjective,"शक्तिः [śaktiḥ], f. [शक्-क्तिन्]",शक्ति सम्बन्धी
चाट,chaata,masculine,"चाटः [cāṭḥ], [चट्-भेदे अच्] A rogue or cheat, swindler, one who wins the confidence of the person he wishes to deceive; Y.1.336; (चाटा = प्रतारकाः विश्वास्य ये परधनमपहरन्ति Mitā.); Pt.1.343.","बदमाश, ठग"
गेहिनी,gehinii,feminine,"गेहिनी [gēhinī], A wife, the mistress of the house; यशोदा नन्द- गेहिनी Bhāg.1.9.1; धैर्यं यस्य पिता क्षमा च जननी शान्तिश्चिरं गेहिनी Śānti.4.9; मद्गेहिन्याः प्रिय इति सखे चेतसा कातरेण Me.79.",पत्नी घर की स्वामिनी
संविधानक,samvidhaanaka,masculine,"संविधानकम् [saṃvidhānakam], 1 Arrangement of incidents (in a plot), the plot of a drama &c.; अहो संविधानकम् U.3.","घटनाओं का क्रम, किसी नाटक की कथावस्तु"
ऐशान,aishaana,adjective,"ऐशान [aiśāna], a. [ईशान-अण्]",शिव से संबंध रखने वाला
सरित्,sarit,feminine,"सरित् [sarit], f. [सृ-इति]",नदी
उपनिम्रेड्,upanimred,unknown,"उपनिम्रेड् [upanimrēḍ], 1 P., Ā. To make happy, gladden; साधवो घोषाआ च गच्छेयुरुप च निम्रेडेरन् Ch. Up.3.19.4.",प्रसन्न करना
ऋक्ष,riksha,masculine,"ऋक्षः [ṛkṣḥ], [ऋष्-स किच्च Uṇ.3.66]",रीक्ष
निषिद्ध,nishiddha,adjective,"निषिद्ध [niṣiddha], p. p. Forbidden, prohibited, warded off, prevented; निषिद्धैरप्येभिर्लुलितमकरन्दो मधुकरैः Ve.1.1.","मना किया हुआ, प्रतिषिद्ध, दूर हटाया हुआ, रोका हुआ"
चिन्मय,chinmaya,adjective,"चिन्मय [cinmaya], a. Consisting of pure intelligence, spiritual (as the Supreme spirit).","विशुद्ध बौद्धिकता से युक्त, आत्मिक"
काकोल,kaakola,masculine,"काकोलः [kākōlḥ], 1 A raven; Y.1.174; Mb.11.16.7.",पहाड़ी कौवा
पुराषाट्,puraashaat,masculine,"पुराषाट् [purāṣāṭ], (Ved.) Vanquisher of many; यद्वावान पुरुतमं पुराषाळा वृत्रहेन्द्रो नामान्यप्राः Rv.1.74.6.","अनकों का विजेता, बहुतों को हराने वाला"
आभास्,aabhaas,unknown,"आभास् [ābhās], 1 Ā.","प्रकट होना, .......के समान चमकना, ...की तरह दिखलाई देना"
द्वीप,dviipa,masculine,"द्वीपः [dvīpḥ] पम् [pam], पम् [द्विर्गता द्वयोर्दिशोर्वा गता आपो यत्र; द्वि-अप्, अप ईप्]",टापू
संसृष्ट,samsrishta,unknown,"संसृष्ट [saṃsṛṣṭa], p. p.","मिश्रित, मिला हुआ, साथ साथ मिलाया हुआ, सम्मिलित किया हुआ"
आतिष्ठद्गु,aatishthadgu,unknown,"आतिष्ठद्गु [ātiṣṭhadgu], [तिष्ठन्ति गावः यस्मिन् काले दोहाय] ind. Upto the time when cows stand to be milked (after an hour or an hour and a half after evening). आतिष्ठद्गु जपन् सन्ध्यां प्रकान्तामायत...",उस समय तक जब तक कि गौएँ दुहे जाने के लिए ठहरती है।
वाच्य,vaachya,adjective,"वाच्य [vācya], a. [वच्-कर्मणि ण्यत्]","कहे जाने या बतलाये जाने के योग्य, संबोधित किये जाने योग्य"
दौश्चर्य,daushcharya,masculine,"दौश्चर्यम् [dauścaryam], 1 Evil conduct, wickedness; Rām.6.","दुराचरण, दुष्टता, दुष्कृत्य"
चैत्तिक,chaittika,adjective,"चैत्तिक [caittika], a. Mental, intellectual.","मानसिक, बौद्धिक"
अवक्लेदन,avakledana,masculine,"अवक्लेदनम् [avaklēdanam], Trickling, falling (as dew or moisture).","बूंद बूंद टपकना, ओस या कुहरे का गिरना"
कान्ति,kaanti,feminine,"कान्तिः [kāntiḥ], [कम् भावे क्तिन्]","मनोहरता, सौन्दर्य"
ईप्सु,iipsu,adjective,"ईप्सु [īpsu], a. Striving to obtain, wishing or desiring to get (with acc. or inf. but usually in comp.); सौरभ्य- मीप्सुरिव ते मुखमारुतस्य R.5.69. काम˚ Bg.18.24. धन˚ &c. -Comp. -यज्ञः a particular Som...","प्राप्त करने का प्रयत्न करने वाला, ग्रहण करने की कामना या इच्छा करने वाला"
उट,uta,masculine,"उटम् [uṭam], 1 A leaf.",पत्ता
यज्ञीय,yajnyiiya,adjective,"यज्ञीय [yajñīya], a. [यज्ञ-छ] Sacrificial; प्रशस्ते$हनि यज्ञीये Mb. 3.124.6. -यः The Udumbara tree. -Comp. -ब्रह्मपादपः the tree called विकङ्कत.",यज्ञ संबंधी
जालोर,jaalora,masculine,"जालोरः [jālōrḥ], N. of an Agra-hāra in Kashmir; विहारमग्रहारं च जालोराख्यं च निर्ममे Rāj. T.1.98.",कश्मीर में एक अग्रहार
कुब्जिका,kubjikaa,feminine,"कुब्जिका [kubjikā], An unmarried girl of eight years old.",आठवर्ष की अविवाहित लड़की
शिखर,shikhara,masculine,"शिखरः [śikharḥ] रम् [ram], रम् [शिखा अस्त्यस्य-अरच् आलोपः]","चोटी, पहाड़ का सिरा या शृंग"
हर्मन्,harman,masculine,"हर्मन् [harman], n. Gaping, yawning.","मुँह फाड़ना, जंभाई लेना"
माधविका,maadhavikaa,feminine,"माधविका [mādhavikā], N. of a creeper; माधविकापरिमलललिते Gīt.1.",माधवी लता
अप्राप्ति,apraapti,feminine,"अप्राप्तिः [aprāptiḥ], f.",न मिलना
तात्कर्म्य,taatkarmya,masculine,"तात्कर्म्यम् [tātkarmyam], Sameness of occupation.",व्यवसाय की समानता
अभिशङ्का,abhishangkaa,feminine,"अभिशङ्का [abhiśaṅkā], Doubt, suspicion, apprehension, fear, alarm, anxiety.","संदेह,आशंका,भय,चिन्ता"
प्रज्ञा,prajnyaa,feminine,"प्रज्ञा [prajñā], 9 U.","मेधा, समझ, बुद्धिमत्ता"
उपदोह,upadoha,masculine,"उपदोहः [upadōhḥ], 1 A nipple of the udder of a cow.",गाय के स्तनों का अग्रभाग
अवसित,avasita,unknown,"अवसित [avasita], p. p. [सो-क्त]","समाप्त, अन्त किया गया, पूरा किया गया"
अत्यर्थ,atyartha,adjective,"अत्यर्थ [atyartha], a. [अतिक्रान्तः अर्थम् अनुरूपस्वरूपम्] Beyond the proper worth or measure, excessive, very great, intense, exorbitant; ˚तापात् M.2.12. -र्थम् adv. Very much, exceedingly, excessive...","अत्यधिक, बहुत बड़ा, बेहद"
क्षौरिक,kshaurika,masculine,"क्षौरिकः [kṣaurikḥ], A barber.",नाई
परिलुप्त,parilupta,unknown,"परिलुप्त [parilupta], p. p.","अन्तर्बाधित, सबाध, घटाया हुआ"
संविश्,samvish,adjective,"संविश् [saṃviś], 6 P.",प्रविष्ट होना
अस्थाने,asthaane,indeclinable,"अस्थाने [asthānē], ind. Unseasonably, out of place, inopportunely, in a wrong place, on an unworthy object; उभयोरप्यस्थाने प्रयत्नः Mu.2; अस्थाने महानर्थोत्सर्गः क्रियते Mu.3; अस्थाने कोपः M.4.","बिना ऋतु के, उपयुक्त स्थान से बाहर, बिना अवसर के, गलत जगह पर, अयोग्य वस्तु पर"
श्यै,shyai,unknown,"श्यै [śyai], 1 Ā. (श्यायते, श्यान, शीत or शीन)","जाना, हिलना-जुलना"
चीर,chiira,masculine,"चीरम् [cīram], [चि-क्रन् दीर्घश्च; Uṇ.2.26]","चिथड़ा, फटा पुराना कपड़ा, धज्जी"
प्रकम्प्,prakamp,unknown,"प्रकम्प् [prakamp], 1 Ā","हिलना, काँपना"
उपधारण,upadhaarana,masculine,"उपधारणम् [upadhāraṇam], 1 Consideration, reflection.","संचिन्तन, विचार-विमर्श"
कपालिन्,kapaalin,adjective,"कपालिन् [kapālin], a.",खोपड़ी रखने वाला
अवलीढ,avaliidha,unknown,"अवलीढ [avalīḍha], p. p.","खाया हुआ, चबाया हुआ"
षण्डक,shandaka,masculine,"षण्डकः [ṣaṇḍakḥ], A eunuch.","नपुंसक, हिजड़ा"
अमिष,amisha,masculine,"अमिष [amiṣa], a. [न. ब.] Free from guile or deceit. -षम् [अम् भोगे-कर्मणि इषन्]","सांसारिक सुख के पदार्थ,विलास की सामग्री"
वैकल्य,vaikalya,masculine,"वैकल्यम् [vaikalyam], [विकलस्य भावः ष्यञ्]","त्रुटि, कमी, अधूरापन्"
ऊह्,uuh,unknown,"ऊह् [ūh], I. 1 U. [ऊहति-ते, ऊहाञ्चकार-चक्रे, ऊहितुम्, ऊहित]","टाँकना, अंकित करना, अवक्षेण करना"
वस्,vas,unknown,"वस् [vas], I. 1 P. (वसति, sometimes वसते, उवास, अवात्सीत्, वत्स्यति, वस्तुम्, उषित)","रहना, बसना, निवास करना, ठहरना, डठे रहना, वास करना"
एड,eda,adjective,"एड [ēḍa], a. Deaf. -डः A kind of sheep. -Comp. -गजः the medicinal plant Cassia Tora or Alata (उरण) used for curing ringworms (Mar. टाकळा). -मूक a.",बहरा
विलेपिन्,vilepin,adjective,"विलेपिन् [vilēpin], a. Viscous, sticky.","लसदार,चिपका हुआ"
पौरंदर,pauramdara,adjective,"पौरंदर [paurandara], a. (-री) Derived from or sacred to Indra. -रम् The lunar mansion called ज्येष्ठा.","इन्द्र से प्राप्त, इन्द्र संबंधी, इन्द्र के लिए पुनीत"
उन्द्,und,unknown,"उन्द् [und], 7 P. [उनत्ति, उन्दाञ्चकार, औन्दीत्, उन्दितुम्, उत्त-उन्न; P.III.3.56]","आर्द्र करना, तर करना, स्नान करना"
कीर्तनीय,kiirtaniiya,adjective,"कीर्तनीय [kīrtanīya] कीर्तन्य [kīrtanya], कीर्तन्य a. Fit to be praised; अपांसुलानां धुरि कीर्तनीया R.2.2.","स्तुति किये जाने के योग्य,जिसके यश या कीर्ति का गान किया जाय"
हस्,has,unknown,"हस् [has], 1 P. (हसति, हसित)","मुसकराना, मन्द हंसी हंसना,"
उपघ्न,upaghna,masculine,"उपघ्नः [upaghnḥ], [उप-हन्-क] P.III.3.85 उपघ्न आश्रये.",अनवरत सहारा
बोधायन,bodhaayana,masculine,"बोधायनः [bōdhāyanḥ], N. of a teacher and author of ब्रह्मसूत्रवृत्ति.",एक सूत्रकार का नाम
दूर्वा,duurvaa,feminine,"दूर्वा [dūrvā], Bent grass, panic grass (considered as a sacred article of worship and offered to deities &c.). -Comp. -अङ्कुरः a soft blade of Dūrvā grass; पवित्रदूर्वाङ्कुर- लाञ्छितालका V.3.12. -अष्...","भूमि पर फैलने वाली एक घास, दूब"
सिद्धता,siddhataa,feminine,"सिद्धता [siddhatā] त्वम् [tvam], त्वम् 1 Accomplishment, fulfilment, perfection.","सम्पन्नता, पूर्णता, पूरा करना"
कङ्केलि,kangkeli,masculine,"कङ्केलिः [kaṅkēliḥ], (वृक्षविशेषः) Kālidāsa mentions the tree only once in his literature and says that it flowers only in Śarad (cf. Ṛs.3.18.).",वृक्षविशेष जिसमें शरदृतु में फूल आते है
ग्रामटिका,graamatikaa,feminine,"ग्रामटिका [grāmaṭikā], A wretched or miserable village; कतिपय- ग्रामटिकापर्यटनदुर्विदग्ध P. R.1.","गाँवड़ी, अभागा गाँव, दरिद्र गाँव"
ब्राह्मणाच्छंसिन्,braahmanaachchhamsin,masculine,"ब्राह्मणाच्छंसिन् [brāhmaṇācchaṃsin], m. N. of a priest, the assistant of the priest called Brahman q .v.","एक पुरोहित का नामान्तर, ब्रह्मा नामक ऋत्विज् का सहायक"
सुत,suta,unknown,"सुत [suta], p. p.",उड़ेला गया
अत्यन्तीन,atyantiina,adjective,"अत्यन्तीन [atyantīna], a. [अत्यन्तं गामी अत्यन्तीनः, भृशं गन्ता; अत्यन्त-ख P.V.2.11.]","बहुत अधिक चलने वाला, बहुत तेज चलने वाला"
भाण्डि,bhaandi,feminine,"भाण्डिः [bhāṇḍiḥ], f. A razor-case. -Comp. -वाहः a barber. -शाला a barber's shop.","उस्तरे का घर, पेटी"
व्यासिद्ध,vyaasiddha,adjective,"व्यासिद्ध [vyāsiddha], p. p.","प्रतिषिद्ध, वर्जित"
प्रभाष्,prabhaash,unknown,"प्रभाष् [prabhāṣ], 1 Ā.","कहना, बोलना"
अङ्ख्,angkh,unknown,"अङ्ख् [aṅkh], 1. P. (अङ्खयति)",पेट के बल सरकना
इष्म,ishma,masculine,"इष्म [iṣma], a. [इष्-इच्छायां कर्मणि मक्] Wishing.",कामदेव
विध्वंस,vidhvamsa,masculine,"विध्वंसः [vidhvaṃsḥ], 1 Ruin, destruction.","बरबादी, विनाश"
जुष्,jush,unknown,"जुष् [juṣ], I. 6 Ā. (जुषते-जुष्ट)","प्रसन्न होना, सन्तुष्ट होना,"
प्रस्पर्धिन्,praspardhin,adjective,"प्रस्पर्धिन् [praspardhin], a. Rivalling with, equalling.","होड़ करने वाला, बराबरी करने वाला"
प्रस्विन्न,prasvinna,adjective,"प्रस्विन्न [prasvinna], p. p. Sweated, perspired.","पसीना आया हुआ, पसीने से तर"
प्रशस्य,prashasya,adjective,"प्रशस्य [praśasya], a. (Compar. श्रेयस् or ज्यायस्, superl. श्रेष्ठ or ज्येष्ठ) Praiseworthy, commendable, excellent.","प्रशंसा के योग्य, तारीफ़ के लायक, श्रेष्ठ"
कुसीदा,kusiidaa,feminine,"कुसीदा [kusīdā], A female usurer.",सूदखोर स्त्री
अपूरणी,apuuranii,feminine,"अपूरणी [apūraṇī], The silk cotton tree (शाल्मली). Bombax Heptaphyllum (Mar. सांवरी).",सेमल का पेड़
अपुत्रिका,aputrikaa,feminine,"अपुत्रिका [aputrikā], The daughter of a sonless father, who herself has no male child; one who is not appointed by her father to beget male issue for him on failure of a son; cf. अकृता. -कः The father...",जिसके कोई पुत्र य उत्तराधिकारी न हो
विधान,vidhaana,masculine,"विधानम् [vidhānam], 1 Arranging, disposing; अपरं किं तु कृत्वैवं विधानं संविधास्यति Rām.7.2.31.","क्रम से रखना, व्यवस्था करना"
हस्तिनी,hastinii,feminine,"हस्तिनी [hastinī], 1 A female elephant.",हथिनी
पित्र्य,pitrya,adjective,"पित्र्य [pitrya], a. [पितुरिदं प्रियं वा पितृत आगतं वा यत्]","पैतृक, बपौती का, पुश्तैनी"
दूतिका,duutikaa,feminine,"दूतिका [dūtikā] दूती [dūtī], दूती 1 A female messenger, a confidante.","संदेशवाहिका, रहस्य की बातें जानने वाली"
मोचन,mochana,adjective,"मोचन [mōcana], a. (-नी f.) [मुच्-ल्यु ल्युट् वा] Releasing, freeing from.","छोड़ने वाला, स्वतंत्र करने वाला"
अभिनिर्मुक्त,abhinirmukta,adjective,"अभिनिर्मुक्त [abhinirmukta], a.",सूर्यास्त होने के कारण छुटा हुआ कार्य या छोड़ा हुआ कार्य
अपाठ्य,apaathya,adjective,"अपाठ्य [apāṭhya], a. Illegible.",जो पढ़ा न जा सके
गार्हपत,gaarhapata,masculine,"गार्हपतम् [gārhapatam], [गृहपतेरिदं अण्] The position and dignity of a householder.",गृहपति का पद और प्रतिष्ठा
अभिप्रेत,abhipreta,unknown,"अभिप्रेत [abhiprēta], p. p.","अर्थपूर्ण,उद्दिष्ट,साशय,आकल्पित"
विरक्त,virakta,adjective,"विरक्त [virakta], p. p.","बहुत लाल, लालिमा से युक्त"
जाया,jaayaa,feminine,"जाया [jāyā], A wife. (The word is thus derived पतिर्भार्यां संप्रविश्य गर्भो भूत्वेह जायते । जायायास्तद्धि जायात्वं यदस्यां जायते पुनः ॥ Ms.9.8; see also Malli. on R.2.1.) As last member of Bah. comp....",पत्नी
उज्जूटित,ujjuutita,adjective,"उज्जूटित [ujjūṭita], a. One who wears the hair twisted together and coiled upwards.",जिसने अपने सिर के बाल जटा के रूप में शिखा बाँधकर रक्खे हुए हैं।
युग,yuga,masculine,"युगम् [yugam], 1 A yoke (m. also in this sense); युगव्यायतबाहुः R.3.34;1.87; Śi.3.68.",जुआ
अलाबु,alaabu,feminine,"अलाबुः [alābuḥ] बूः [būḥ], बूः f. [न-लम्बते; न-लम्ब्-उ-णित् नलोपश्च वृद्धिः Tv] The bottle-gourd. -बु (n.)",लंबी लौकी
प्रबभ्र,prababhra,masculine,"प्रबभ्रः [prababhrḥ], An epithet of Indra.",इन्द्र का नामान्तर
धृष्ट,dhrishta,adjective,"धृष्ट [dhṛṣṭa], p. p. [धृष्-क्त]","दिलेर, साहसी, विश्वस्त"
विनिहित,vinihita,adjective,"विनिहित [vinihita], p. p. [वि+नि+धा]","रक्खा हुआ,पड़ा हुआ"
कुवाद,kuvaada,adjective,"कुवाद [kuvāda], a.","मान घटाने वाला, साख कम करने वाला, निन्दक"
प्लावयितृ,plaavayitri,adjective,"प्लावयितृ [plāvayitṛ], a. One who causes to swim or cross (a boatsman); गुरुः प्लावयिता तस्य ज्ञानं प्लव इहोच्यते Mb. 12.326.23.","मल्लाह, नाविक"
र,ra,masculine,"र [r] सु [su] सोनः [sōnḥ], (सु) सोनः A kind of garlic; cf. लसोन.",अग्नि
मारुण्ड,maarunda,masculine,"मारुण्डः [māruṇḍḥ], 1 A serpent's egg.",साँप का अण्डा
शकट,shakata,masculine,"शकटः [śakaṭḥ] टम् [ṭam], टम् [शक्-अटन् Uṇ.4.81]","गाडी,छकडा,भार ढोने की गाड़ी"
कलविङ्क,kalavingka,masculine,"कलविङ्कः [kalaviṅkḥ] गः [gḥ], गः 1 A sparrow; Ms.5.12; Y.1.174. कलविङ्कस्वर उत्तरं बभाषे Bu. Ch.5.34.",चिड़िया
अक्क,akka,masculine,"अक्कः [akkḥ], A corner of a house; अक्के चेन्मधु विन्देत किमर्थं पर्वतं व्रजेत् ।",भंडार-गृह
यमनिका,yamanikaa,feminine,"यमनिका [yamanikā], A curtain, screen; cf. जवनिका.","परदा, ओट, तु* जवनिका"
तोषण,toshana,masculine,"तोषण [tōṣaṇa], a. [तुष्-कर्तरि ल्यु] Satisfying, gratifying, pleasing. -णम् [भावे ल्युट्]","सन्तोष, परितोष"
माणिक्या,maanikyaa,feminine,"माणिक्या [māṇikyā], A small house-lizard.",छिपकली
कण्डूयति,kanduuyati,unknown,"कण्डूयति [kaṇḍūyati] ते [tē], ते Den. U. (p. p. कण्डूयित)","खुरचना, शनैः-शनैः मसलना"
सत्,sat,adjective,"सत् [sat], a. (-ती f.)","वर्तमान, विद्यमान, मौजूद"
करटिन्,karatin,masculine,"करटिन् [karaṭin], m. An elephant; दिगन्ते श्रूयन्ते मदमलिनगण्डाः करटिनः Bv.1.2. तिष्ठन्तं करटिकदम्बदुर्गदेशे Śiva. B.24.67.",हाथी
अभिषव,abhishava,masculine,"अभिषव [abhiṣava], see under अभिषु.",सोमरस निचोड़ना
संय,samya,unknown,"संय [saṃya], A skeleton.","नियंत्रित करना, दमन करना, रोकना, नियंत्रण में रखना"
अभिभू,abhibhuu,unknown,"अभिभू [abhibhū], 1. P.",हावी हो जाना
पृथिवी,prithivii,feminine,"पृथिवी [pṛthivī], [cf. Uṇ.1.184]",पृथ्वी
अयाथार्थ्य,ayaathaarthya,masculine,"अयाथार्थ्यम् [ayāthārthyam], 1 Unfitness, incorrectness.","अयोग्यता,अशुद्धता"
मिन्द्,mind,unknown,"मिन्द् [mind], 1, 1 U. (मिन्दति, मिन्दयति-ते). मिद् (मिद् [mid], I. 1 Ā., 4, 1 U. (मेदते, मेद्यति-ते, मेदयति-ते)) II.",सहकारी बनना
अभिहोम,abhihoma,masculine,"अभिहोमः [abhihōmḥ], Offering an oblation of clarified butter.",घी की आहुति देना
आक्षिप्त,aakshipta,adjective,"आक्षिप्त [ākṣipta], p. p.","प्रक्षिप्त, ठूँसा हुआ"
गाणेश,gaanesha,masculine,"गाणेशः [gāṇēśḥ], A worshipper of Gaṇeśa.",गणेश की पूजा करने वाला
क्रोड,kroda,masculine,"क्रोडः [krōḍḥ], [क्रुङ् घनीभावे संज्ञायां घञ्]","सूअर, वृक्ष की खोडर, गढ़ा"
रीति,riiti,feminine,"रीतिः [rītiḥ], f. [री-क्तिन्]","हिलना-जुलना, बहना"
कच्छटिका,kachchhatikaa,feminine,"कच्छटिका [kacchaṭikā], 1 Pimple, blotch.",धोती का छोर
अपक्ष,apaksha,adjective,"अपक्ष [apakṣa], a.",पंखों से या उड़ान की शक्ति से रहित
अतिगव,atigava,masculine,"अतिगव [atigava], a. [अतिक्रान्तो गाम्]","अत्यन्त मूर्ख, बिल्कुल जड"
पारा,paaraa,feminine,"पारा [pārā], N. of a river; तदुत्तिष्ठ पारासिन्धुसंभेदमवगाह्य नगरीमेव प्रविशावः Māl.4;9.1.",एक नदी का नाम
भण्डन,bhandana,masculine,"भण्डनम् [bhaṇḍanam], [भण्ड्-ल्युट्]","कवच, बख्तर"
