Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
विप्रतिषेध,vipratishedha,masculine,"विप्रतिषेधः [vipratiṣēdhḥ], 1 Keeping under control, controlling; क्रव्याद्भ्य इव भूतानामदान्तेभ्यः सदा भयम् । तेषां विप्रतिषेधार्थं राजा सृष्टः स्वयंभुवा ॥ Mb","नियन्त्रण में रखना, वश में रखना"
अवपोथिका,avapothikaa,feminine,"अवपोथिका [avapōthikā], Anything used for knocking down as stones &c. thrown from the walls of a city on the besiegers. M. Bh.",वस्तु जो नगर के दीवार से नगर पर आक्रमण करने वाले शत्रुओं पर फेंकी जाय
चुक्रा,chukraa,feminine,"चुक्रा [cukrā], The tamarind tree.",इमली का पेड़
औपनीविक,aupaniivika,feminine,"औपनीविक [aupanīvika], a. (-की f.) [P.IV.3.4; IV.1.15. उपनीवि-ठक्] Being or placed near नीवि (the knot of the wearing garment of males or females); बद्धो दुर्बलरक्षार्थमसिर्येनौपनीविकः Bk.4.26; औपनीविक...",स्त्री या पुरुषों की धोती की गाँठ या नाड़े के निकट रखा हुआ
मुक्ता,muktaa,feminine,"मुक्ता [muktā], 1 A pearl; हारो$यं हरिणाक्षीणां लुठति स्तनमण्डले । मुक्तानामप्यवस्थेयं के वयं स्मरकिङ्कराः Amaru.138 (where मुक्तानां means also 'of absolved saints'); Śukra.4.157. (Pearls are said to...",मोती
पटह,pataha,masculine,"पटहः [paṭahḥ], 1 A kettle-drum, a war-drum, drum, tabor; कुर्वन् संध्याबलिपटहतां शूलिनः श्लाघनीयाम् Me.36; पटुपटह- ध्वनिभिर्विनीतनिद्रः R.9.71.","धौंसा, नगाड़ा, ढोल, तबला"
समधिग,samadhiga,unknown,"समधिगम् [samadhigam], 1 P.",निकट पहुँचना
कियत्,kiyat,adjective,"कियत् [kiyat], a. [cf. किमिदंभ्यां वो घः P.V.2.4] (Nom. sing. कियान् m., कियती f., कियत् n.)","कितना बड़ा, कितनी दूर, कितना, कितने, कितने विस्तार का, किन गुणों का"
निमित,nimita,adjective,"निमित [nimita], 1 See निर्मित; caused; शापो मयैव निमितस्तदवैत विप्राः Bhāg.3.16.26.",उत्पादित
पीलक,piilaka,masculine,"पीलकः [pīlakḥ], The large black ant.",मकौड़ा
अवसादक,avasaadaka,adjective,"अवसादक [avasādaka], a.","उदास करने वाला, मुर्च्छित करने वाला,असफल बनाने वाला"
वितथ्य,vitathya,adjective,"वितथ्य [vitathya], a. False; see above.",मिथ्या
आश्वलक्षणिक,aashvalakshanika,masculine,"आश्वलक्षणिक [āśvalakṣaṇika], a. (-की f.) [अश्वलक्षण-ठक्] Knowing the marks of horses. -कः A farrier, groom.","सलोतरी, अश्व-चिकित्सक, साइस"
अबाध,abaadha,adjective,"अबाध [abādha], a. Unrestrained, unobstructed.","अनियन्त्रित,बाधारहित"
भल्लक,bhallaka,masculine,"भल्लकः [bhallakḥ] भल्लाटः [bhallāṭḥ], भल्लाटः A bear; Bhāg.3.1.24.",रीछ
अधिगुण,adhiguna,adjective,"अधिगुण [adhiguṇa], a. [अधिका गुणा यस्य]","श्रेष्ठ गुण रखने वाला, योग्य, गुणी"
बन्धित्र,bandhitra,adjective,"बन्धित्रः [bandhitrḥ], [बन्ध-इत्र]",कामदेव
उत्सद्,utsad,unknown,"उत्सद् [utsad], 1 P.","डूबना, बर्बाद होना, क्षीण होना"
दारण,daarana,masculine,"दारणम् [dāraṇam], [दॄ-णिच् युच्]","टुकड़े- टुकड़े करना, फाड़ना, चीरना, खोलना, दो कर देना"
लुष्,lush,unknown,"लुष् [luṣ], 1 P. (लोषति) लुष् (लुष् [luṣ], 1 P. (लोषति) See लुष्.).","चोट पहु्ंचाना, क्षतिग्रस्त करना"
